size,cup size,hips,bra size,category,height,fit
8,4,41.0,36.0,0,65,1
12,4,35.0,36.0,1,68,0
15,4,46.0,40.0,0,68,1
12,3,39.0,38.0,0,69,1
4,3,35.0,32.0,0,60,1
20,4,35.0,36.0,0,67,1
26,7,47.0,38.0,0,65,2
8,3,35.0,36.0,0,62,1
32,8,52.0,38.0,0,69,1
12,4,38.0,36.0,1,62,1
8,2,42.0,34.0,1,66,2
8,2,30.0,34.0,0,65,1
12,3,42.0,38.0,0,64,1
8,2,37.0,32.0,0,63,1
4,0,35.0,34.0,0,70,1
21,4,45.0,38.0,1,57,2
8,6,35.0,32.0,1,60,1
26,2,46.0,36.0,0,70,2
8,0,36.0,34.0,1,69,1
26,4,49.0,36.0,0,69,2
32,3,50.0,38.0,0,66,1
12,3,37.0,38.0,0,65,0
5,0,32.0,34.0,1,61,1
32,5,60.0,46.0,0,63,1
12,3,37.0,36.0,0,68,1
12,3,38.0,38.0,0,64,1
5,2,36.0,32.0,1,61,1
12,3,41.0,36.0,1,68,1
12,5,40.0,36.0,1,63,0
20,5,52.0,38.0,1,68,1
4,3,36.0,34.0,1,65,1
12,4,36.0,36.0,0,69,2
20,4,46.0,40.0,1,66,1
12,3,35.0,38.0,0,62,0
12,3,41.0,36.0,0,68,2
20,5,41.0,36.0,0,65,1
4,3,44.0,38.0,0,59,2
32,5,54.0,44.0,0,65,1
12,3,44.0,38.0,1,64,1
26,3,45.0,38.0,1,64,0
20,2,45.0,40.0,0,69,1
20,3,51.0,40.0,0,65,1
15,4,47.0,38.0,0,66,2
4,0,36.0,34.0,0,62,0
13,4,35.0,38.0,1,66,0
3,4,35.0,30.0,1,62,2
4,4,35.0,36.0,1,65,1
4,2,38.0,32.0,1,67,2
8,5,35.0,34.0,0,66,1
9,5,39.0,36.0,1,58,1
8,4,36.0,34.0,1,64,0
12,4,40.0,36.0,0,66,1
4,3,38.0,32.0,0,63,1
8,6,39.0,32.0,1,63,1
8,6,36.0,32.0,0,67,2
8,5,42.0,36.0,1,65,1
11,4,38.0,38.0,1,60,1
12,4,35.0,36.0,0,64,2
26,4,49.0,40.0,0,66,1
4,2,35.0,32.0,1,63,1
12,3,40.0,36.0,0,67,1
8,2,30.0,36.0,1,60,1
12,3,39.0,34.0,0,67,1
8,2,39.0,34.0,1,66,1
32,2,55.0,46.0,0,66,1
20,2,40.0,38.0,1,62,2
4,4,42.0,38.0,0,66,1
15,4,35.0,36.0,1,67,1
8,2,41.0,36.0,0,62,1
5,5,33.0,34.0,1,63,1
26,5,51.0,42.0,0,67,1
4,4,37.0,36.0,0,62,2
12,6,44.0,36.0,0,65,2
8,6,34.0,32.0,1,68,2
38,4,58.0,44.0,0,70,2
26,2,55.0,38.0,0,68,1
38,5,56.0,42.0,1,67,1
15,5,49.0,38.0,0,64,1
15,3,45.0,38.0,1,65,0
12,4,42.0,38.0,1,67,1
12,2,41.0,38.0,0,66,2
26,7,48.0,40.0,0,68,1
4,4,39.0,32.0,0,65,1
4,0,36.0,30.0,1,62,2
12,6,42.0,34.0,0,66,1
8,4,38.0,34.0,1,67,1
4,0,36.0,36.0,0,65,1
20,5,47.0,38.0,0,68,2
8,2,33.0,36.0,0,62,1
8,4,39.0,34.0,1,61,1
12,5,38.0,36.0,0,63,1
20,6,44.0,38.0,0,64,1
4,2,36.0,34.0,1,64,1
20,10,40.0,36.0,0,62,1
12,2,38.0,32.0,1,65,1
32,5,54.0,44.0,1,64,1
8,4,40.0,34.0,0,60,1
8,3,35.0,34.0,0,68,1
12,5,42.0,38.0,0,72,1
1,2,32.0,30.0,0,62,1
8,2,40.0,34.0,1,62,1
15,5,38.0,38.0,1,63,1
12,2,41.0,36.0,1,66,1
5,3,34.0,32.0,1,68,1
11,4,34.0,34.0,1,64,1
15,6,35.0,40.0,0,64,1
4,4,35.0,34.0,0,59,2
4,2,36.0,34.0,0,64,0
20,4,47.0,36.0,1,64,2
8,3,37.0,34.0,1,62,1
4,3,33.0,36.0,0,65,0
20,5,47.0,42.0,1,67,1
20,8,42.0,32.0,1,66,2
4,3,36.0,34.0,1,61,1
8,3,38.0,34.0,0,66,0
12,5,40.0,34.0,1,68,1
8,4,40.0,34.0,0,60,1
12,2,48.0,36.0,0,63,1
8,4,35.0,34.0,1,63,0
20,4,45.0,40.0,0,65,2
11,2,40.0,34.0,1,70,0
26,7,40.0,42.0,0,65,2
4,5,35.0,36.0,0,62,1
8,2,36.0,36.0,0,64,0
12,3,41.0,34.0,0,67,0
8,2,41.0,34.0,0,69,1
12,6,36.0,36.0,0,67,1
9,5,43.0,38.0,1,67,0
4,2,41.0,34.0,0,63,1
8,4,35.0,34.0,0,64,1
12,3,38.0,36.0,0,65,1
4,0,35.0,32.0,1,64,0
12,5,36.0,34.0,0,59,1
8,4,40.0,34.0,1,66,1
8,4,34.0,32.0,0,65,1
8,2,37.0,32.0,1,61,1
3,5,36.0,32.0,1,65,1
8,4,40.0,34.0,1,62,1
12,5,41.0,34.0,0,66,1
12,2,40.0,36.0,1,68,1
12,4,35.0,34.0,1,65,1
8,3,41.0,34.0,0,64,1
32,3,53.0,40.0,0,67,0
26,5,55.0,38.0,0,62,1
20,6,40.0,38.0,0,70,2
15,5,44.0,36.0,1,65,1
20,5,41.0,38.0,1,61,1
8,5,41.0,32.0,1,67,1
12,3,44.0,38.0,1,70,1
4,2,34.0,34.0,1,64,2
8,3,35.0,34.0,0,68,1
32,4,54.0,42.0,0,64,1
20,3,51.0,42.0,0,71,1
12,6,40.0,34.0,1,67,1
12,6,42.0,34.0,0,67,1
12,3,35.0,36.0,1,65,1
12,2,34.0,38.0,0,70,0
12,4,45.0,34.0,1,70,1
15,3,48.0,38.0,1,67,0
8,5,39.0,34.0,0,68,1
12,2,40.0,36.0,0,61,1
12,5,41.0,36.0,1,70,1
4,4,33.0,34.0,0,65,2
1,5,33.0,32.0,1,62,1
12,4,37.0,34.0,0,63,0
8,3,41.0,36.0,1,67,1
4,2,38.0,34.0,0,63,2
20,2,40.0,34.0,0,66,2
20,4,44.0,38.0,0,66,1
8,5,40.0,38.0,0,62,2
8,8,38.0,34.0,0,63,1
1,0,35.0,34.0,1,63,1
12,8,41.0,34.0,0,67,1
20,3,50.0,40.0,1,70,2
8,4,34.0,32.0,0,66,1
8,6,36.0,34.0,0,63,1
12,4,36.0,34.0,1,64,1
26,3,45.0,40.0,0,66,2
12,4,39.0,38.0,1,62,1
26,4,45.0,42.0,0,66,2
7,5,35.0,32.0,1,63,1
20,4,50.0,38.0,0,65,1
8,3,42.0,36.0,0,63,1
26,2,48.0,38.0,1,69,1
8,3,38.0,34.0,0,71,1
8,5,36.0,32.0,1,62,1
4,2,34.0,34.0,1,66,0
15,4,45.0,36.0,0,68,1
8,2,34.0,34.0,1,66,1
15,4,43.0,36.0,0,65,2
8,2,36.0,34.0,0,68,2
4,2,37.0,32.0,0,65,2
12,4,32.0,38.0,0,65,1
32,4,52.0,38.0,1,62,1
20,8,53.0,36.0,1,69,1
12,4,39.0,36.0,1,65,1
20,5,45.0,38.0,1,70,1
4,0,31.0,32.0,0,62,2
12,2,34.0,36.0,0,66,0
4,6,36.0,32.0,1,61,1
20,4,48.0,38.0,0,69,1
12,4,44.0,40.0,0,67,1
8,3,35.0,36.0,1,65,1
15,8,47.0,36.0,1,67,2
8,5,39.0,36.0,1,68,1
5,3,40.0,32.0,1,67,1
8,5,36.0,32.0,0,66,1
4,5,33.0,28.0,0,64,1
12,2,40.0,36.0,1,68,1
15,11,46.0,38.0,1,67,0
4,2,35.0,34.0,1,61,2
12,3,43.0,38.0,0,67,2
12,4,44.0,36.0,1,67,0
8,2,40.0,34.0,0,69,2
38,4,60.0,44.0,0,69,0
4,0,32.0,34.0,0,66,1
26,6,45.0,40.0,0,71,1
8,5,34.0,34.0,0,66,2
8,4,42.0,34.0,0,67,2
12,2,40.0,38.0,0,62,0
8,3,39.0,34.0,1,64,1
4,3,40.0,36.0,0,63,2
12,3,41.0,34.0,0,69,1
4,8,40.0,30.0,0,64,1
8,3,35.0,34.0,1,66,1
4,0,34.0,32.0,1,64,2
26,6,48.0,36.0,1,67,1
26,2,43.0,40.0,0,66,1
1,3,34.0,32.0,0,62,2
8,3,36.0,38.0,1,66,0
7,3,42.0,38.0,1,65,0
26,3,34.0,40.0,0,67,1
8,3,36.0,32.0,0,62,1
4,0,36.0,34.0,0,66,0
8,2,36.0,34.0,1,68,1
12,5,42.0,38.0,0,64,0
12,5,45.0,34.0,0,64,1
4,3,40.0,34.0,0,64,1
9,0,36.0,34.0,1,69,1
8,2,33.0,34.0,0,69,1
12,4,38.0,34.0,1,72,1
20,5,45.0,36.0,0,72,2
12,3,45.0,40.0,0,69,0
8,2,33.0,36.0,0,69,1
8,2,41.0,36.0,1,69,1
12,2,40.0,36.0,0,68,1
12,5,40.0,38.0,0,70,0
20,6,45.0,42.0,0,63,2
8,4,38.0,36.0,1,64,1
5,2,34.0,34.0,1,70,1
26,6,50.0,42.0,1,60,1
26,4,52.0,38.0,0,62,1
15,2,43.0,36.0,0,62,1
12,6,38.0,34.0,0,67,1
9,5,41.0,36.0,1,68,1
20,4,35.0,40.0,0,68,1
15,5,44.0,38.0,1,65,1
12,4,43.0,40.0,1,68,1
20,7,35.0,40.0,0,63,2
4,4,34.0,32.0,0,62,1
8,2,38.0,36.0,0,68,1
8,3,36.0,36.0,0,61,0
4,4,37.0,32.0,1,63,1
8,0,38.0,34.0,0,74,1
9,2,40.0,36.0,1,69,1
8,3,43.0,36.0,0,64,1
4,2,38.0,32.0,1,67,0
12,4,43.0,34.0,1,70,1
4,4,38.0,32.0,0,62,1
32,4,60.0,44.0,1,65,0
20,6,45.0,38.0,0,66,1
1,4,37.0,32.0,1,62,1
18,3,44.0,38.0,1,67,1
8,3,41.0,34.0,0,65,1
15,4,50.0,38.0,1,64,1
8,5,44.0,34.0,0,63,1
13,2,44.0,36.0,1,66,1
12,3,42.0,36.0,0,71,2
4,0,35.0,32.0,1,62,1
26,4,50.0,40.0,0,66,1
13,4,41.0,36.0,1,63,1
26,3,49.0,38.0,0,63,1
5,7,34.0,32.0,1,65,1
20,5,41.0,38.0,1,65,2
9,3,37.0,38.0,1,66,2
8,0,38.0,34.0,1,65,1
8,2,34.0,36.0,1,64,1
4,2,36.0,32.0,1,61,1
4,0,31.0,34.0,0,63,1
15,3,38.0,38.0,0,72,1
38,2,51.0,44.0,0,68,1
8,2,40.0,36.0,0,65,1
4,3,32.0,32.0,0,65,1
26,5,58.0,44.0,1,65,1
20,2,35.0,40.0,0,73,1
8,3,35.0,36.0,0,70,1
8,5,38.0,34.0,1,66,1
4,2,38.0,34.0,0,69,1
12,2,34.0,38.0,0,70,1
15,4,41.0,40.0,1,63,1
4,3,36.0,32.0,0,66,1
4,1,37.0,34.0,0,59,1
4,2,33.0,36.0,1,66,1
8,2,35.0,34.0,0,62,1
8,3,37.0,36.0,0,66,1
15,4,42.0,36.0,1,71,0
8,3,35.0,36.0,0,64,1
15,4,44.0,38.0,0,66,1
20,6,39.0,42.0,1,64,1
12,3,40.0,36.0,0,67,1
12,5,35.0,38.0,0,67,1
8,3,37.0,34.0,0,67,1
4,4,36.0,32.0,1,62,1
4,4,37.0,34.0,0,64,1
8,4,40.0,36.0,0,65,1
8,3,38.0,36.0,1,65,1
20,5,42.0,40.0,0,67,1
8,3,41.0,36.0,0,68,1
20,6,45.0,34.0,1,61,2
20,5,34.0,38.0,0,71,2
4,2,39.0,34.0,1,67,1
4,3,44.0,36.0,1,68,1
4,4,38.0,34.0,1,63,1
26,7,44.0,44.0,0,68,1
8,9,40.0,32.0,0,62,1
12,5,45.0,36.0,1,65,1
20,3,42.0,36.0,0,64,1
1,3,35.0,32.0,1,62,2
12,3,47.0,36.0,1,64,0
13,4,45.0,34.0,1,64,0
8,4,42.0,36.0,1,65,1
32,4,51.0,40.0,0,69,1
20,4,54.0,40.0,1,64,2
12,5,43.0,36.0,1,65,0
8,3,35.0,36.0,0,64,2
20,4,51.0,38.0,0,64,1
8,0,35.0,36.0,1,63,1
15,0,47.0,36.0,1,61,1
8,3,32.0,28.0,0,61,1
4,3,38.0,32.0,0,65,1
12,7,46.0,32.0,0,66,1
3,2,33.0,32.0,1,64,1
8,4,40.0,36.0,0,61,1
32,4,49.0,40.0,0,66,1
12,4,37.0,38.0,1,64,1
4,2,35.0,32.0,0,65,1
8,2,44.0,34.0,0,69,1
12,4,40.0,40.0,1,70,1
12,3,42.0,36.0,0,65,2
32,6,45.0,42.0,0,64,2
32,5,42.0,44.0,0,64,2
20,5,41.0,38.0,1,66,1
8,0,46.0,34.0,0,64,0
26,4,50.0,42.0,1,69,1
8,2,38.0,34.0,1,68,1
12,4,43.0,36.0,0,68,1
7,3,40.0,32.0,1,67,1
12,3,39.0,36.0,1,59,1
15,7,44.0,36.0,1,63,1
26,3,60.0,40.0,0,67,1
12,4,40.0,38.0,0,68,1
12,4,35.0,36.0,0,66,1
20,4,47.0,40.0,0,63,1
15,4,38.0,36.0,1,66,0
20,6,48.0,38.0,1,63,2
20,5,46.0,38.0,1,60,2
8,5,33.0,34.0,0,64,2
4,2,36.0,32.0,0,62,1
38,7,54.0,46.0,0,70,0
8,4,41.0,34.0,1,65,1
12,2,42.0,36.0,0,67,1
4,2,35.0,34.0,0,64,2
4,0,35.0,34.0,1,63,1
15,3,38.0,38.0,1,64,1
8,2,45.0,36.0,0,67,2
7,3,42.0,36.0,1,66,0
8,4,40.0,34.0,1,63,1
12,4,40.0,36.0,1,67,0
8,0,39.0,36.0,0,67,1
4,2,36.0,36.0,1,64,1
4,3,32.0,32.0,1,64,1
4,0,34.0,32.0,0,63,1
4,5,38.0,32.0,0,62,1
26,8,54.0,48.0,1,64,1
12,5,45.0,36.0,1,62,1
8,4,36.0,32.0,0,66,1
8,3,36.0,32.0,1,67,1
32,5,52.0,42.0,0,67,0
4,3,33.0,32.0,0,62,1
26,8,50.0,36.0,1,62,1
4,5,35.0,34.0,0,63,1
13,5,51.0,36.0,1,62,1
8,2,38.0,34.0,1,60,0
15,8,44.0,36.0,1,67,1
12,4,41.0,36.0,1,65,1
8,5,35.0,32.0,1,66,1
4,4,38.0,36.0,0,66,1
26,8,35.0,38.0,1,66,0
20,3,48.0,40.0,0,70,1
8,5,36.0,34.0,0,67,1
12,2,40.0,38.0,0,67,1
4,4,39.0,32.0,1,64,2
12,4,40.0,36.0,0,67,1
8,3,40.0,36.0,0,64,1
15,6,38.0,36.0,1,62,2
4,0,37.0,32.0,0,64,1
13,3,37.0,38.0,1,62,0
15,3,45.0,36.0,1,66,1
12,2,41.0,36.0,1,66,1
12,3,43.0,36.0,1,71,1
15,4,35.0,36.0,0,68,0
8,2,40.0,36.0,1,64,2
4,5,40.0,32.0,0,67,2
8,3,38.0,36.0,0,62,1
20,2,55.0,36.0,0,66,1
20,4,43.0,40.0,1,63,1
12,5,42.0,36.0,0,64,1
5,4,36.0,32.0,1,63,1
12,4,35.0,34.0,0,61,1
15,3,36.0,36.0,1,62,1
8,2,40.0,34.0,1,61,1
8,2,44.0,38.0,0,66,2
20,4,49.0,40.0,1,67,1
32,6,46.0,38.0,0,66,1
8,4,35.0,34.0,0,62,1
8,3,38.0,36.0,1,64,1
32,10,51.0,36.0,0,72,2
15,4,41.0,36.0,0,66,1
8,3,41.0,34.0,0,66,1
12,5,39.0,34.0,0,70,1
26,2,50.0,38.0,1,68,1
20,5,44.0,40.0,0,64,1
12,4,39.0,36.0,1,65,1
8,0,40.0,36.0,1,65,1
8,2,34.0,34.0,0,64,2
20,6,43.0,36.0,0,67,0
12,5,44.0,38.0,1,68,1
4,5,34.0,32.0,0,63,1
4,2,30.0,36.0,0,64,1
32,2,55.0,44.0,1,63,1
12,4,40.0,40.0,0,62,1
12,4,35.0,34.0,0,72,1
9,4,38.0,34.0,1,64,2
4,2,36.0,34.0,1,62,1
38,5,60.0,44.0,0,67,0
7,4,32.0,36.0,1,64,1
4,4,40.0,34.0,1,60,0
12,4,46.0,34.0,0,70,2
26,6,50.0,40.0,0,65,1
4,3,36.0,34.0,1,66,0
4,2,36.0,34.0,0,65,1
15,2,45.0,36.0,0,70,1
8,3,39.0,34.0,0,69,1
8,4,41.0,36.0,0,62,1
12,4,38.0,34.0,1,64,1
20,3,47.0,38.0,1,68,2
4,4,39.0,34.0,0,63,2
4,2,36.0,32.0,1,63,0
26,5,45.0,40.0,1,69,0
12,5,31.0,36.0,0,67,1
15,8,42.0,38.0,0,68,2
4,0,38.0,32.0,0,63,0
12,2,41.0,36.0,0,70,1
4,3,37.0,34.0,0,60,1
12,2,41.0,36.0,0,70,0
20,6,42.0,40.0,1,63,1
8,2,34.0,36.0,0,61,1
8,3,35.0,36.0,1,69,1
8,4,34.0,34.0,1,62,1
4,4,38.0,32.0,0,63,1
12,3,42.0,38.0,1,62,0
32,6,52.0,42.0,0,68,2
5,5,39.0,34.0,1,66,1
8,2,36.0,32.0,0,64,0
12,5,41.0,32.0,1,65,0
12,3,35.0,36.0,0,63,0
8,0,38.0,34.0,0,66,1
15,5,44.0,36.0,1,65,1
8,4,40.0,36.0,1,62,1
38,6,60.0,46.0,1,65,2
8,3,36.0,34.0,0,60,1
26,5,45.0,40.0,1,65,1
12,5,42.0,36.0,0,65,0
8,2,40.0,36.0,1,63,1
12,3,44.0,38.0,0,61,0
20,5,37.0,42.0,0,63,1
8,2,39.0,34.0,0,62,1
26,3,50.0,40.0,0,63,1
12,4,40.0,34.0,1,68,1
4,0,33.0,32.0,1,64,1
4,0,37.0,34.0,0,64,1
12,5,42.0,34.0,1,67,1
13,4,35.0,36.0,1,62,2
15,3,40.0,38.0,1,61,1
20,6,40.0,42.0,1,68,1
12,5,53.0,36.0,0,67,1
0,2,33.0,32.0,1,61,0
32,5,35.0,38.0,0,65,1
12,4,34.0,34.0,1,64,1
8,2,36.0,34.0,1,64,1
20,5,47.0,38.0,1,68,1
4,5,37.0,32.0,0,58,2
15,5,54.0,40.0,0,63,1
8,3,37.0,34.0,0,64,1
26,4,48.0,42.0,0,68,2
12,5,40.0,34.0,0,62,1
12,5,44.0,36.0,1,66,1
12,6,38.0,34.0,0,67,1
20,4,44.0,42.0,1,62,2
4,2,34.0,32.0,0,62,1
12,3,44.0,34.0,1,62,1
20,3,44.0,36.0,1,61,2
8,3,38.0,34.0,0,60,1
15,5,45.0,36.0,0,63,2
12,2,39.0,36.0,1,63,1
4,0,38.0,34.0,1,63,1
12,4,42.0,36.0,1,63,1
12,4,42.0,36.0,1,62,0
8,3,38.0,32.0,0,63,2
20,7,46.0,36.0,0,67,0
9,3,40.0,36.0,1,61,1
26,3,55.0,42.0,0,68,2
4,3,34.0,32.0,1,69,2
12,5,39.0,34.0,0,65,1
20,4,52.0,40.0,0,68,1
15,6,43.0,36.0,1,64,1
15,6,35.0,38.0,1,66,1
38,6,60.0,48.0,0,68,1
26,6,50.0,40.0,0,67,1
12,6,41.0,30.0,1,61,1
26,6,55.0,42.0,1,64,2
15,5,47.0,36.0,0,67,0
20,5,49.0,36.0,0,69,2
4,4,37.0,36.0,0,64,1
12,2,43.0,36.0,0,63,2
24,4,40.0,38.0,1,69,1
21,4,46.0,32.0,1,69,2
4,0,36.0,34.0,0,63,2
9,4,40.0,34.0,1,66,1
8,2,36.0,34.0,1,70,1
8,5,38.0,34.0,0,67,1
4,2,34.0,34.0,0,64,1
20,3,52.0,40.0,1,66,1
12,6,37.0,34.0,0,62,1
8,3,35.0,34.0,1,62,2
8,2,38.0,34.0,1,60,1
8,0,32.0,36.0,0,61,1
8,2,37.0,34.0,1,63,2
12,4,41.0,36.0,0,65,1
8,2,39.0,36.0,0,67,0
12,2,35.0,36.0,0,68,1
7,0,36.0,32.0,1,67,1
15,5,42.0,36.0,0,64,0
4,0,36.0,34.0,0,66,1
4,3,32.0,34.0,1,66,1
8,6,38.0,32.0,0,62,1
4,2,34.0,32.0,0,62,1
26,5,54.0,42.0,0,64,1
20,5,41.0,40.0,0,65,2
4,3,36.0,32.0,1,66,1
15,5,41.0,36.0,1,62,1
8,4,40.0,34.0,0,60,1
15,5,44.0,34.0,1,69,1
8,4,40.0,34.0,0,69,1
26,6,40.0,40.0,0,63,1
9,4,36.0,36.0,1,66,2
8,4,42.0,34.0,1,61,1
15,3,46.0,38.0,1,68,1
12,2,39.0,36.0,0,66,2
4,3,36.0,34.0,1,61,1
12,3,42.0,38.0,0,71,1
12,5,38.0,38.0,1,63,1
4,5,36.0,34.0,1,61,1
8,3,39.0,34.0,0,64,2
8,4,43.0,36.0,0,67,2
12,5,41.0,36.0,1,69,1
20,6,46.0,40.0,0,63,2
12,5,47.0,38.0,1,66,1
12,6,42.0,34.0,0,66,2
32,4,53.0,40.0,0,69,1
15,3,47.0,38.0,0,62,1
4,4,38.0,34.0,0,68,1
4,4,35.0,34.0,1,62,1
12,4,42.0,36.0,0,62,0
20,4,42.0,42.0,0,63,1
8,4,36.0,34.0,1,64,1
4,3,44.0,34.0,0,72,1
12,5,41.0,34.0,1,65,1
15,3,44.0,38.0,1,62,1
12,5,41.0,36.0,0,67,2
12,3,41.0,38.0,0,67,1
8,2,36.0,36.0,0,62,1
7,5,44.0,36.0,1,65,1
15,3,42.0,36.0,0,70,2
12,3,36.0,38.0,1,69,0
4,0,35.0,32.0,1,65,1
12,3,50.0,36.0,1,64,1
5,2,36.0,32.0,1,61,1
26,4,40.0,36.0,1,66,2
12,5,40.0,36.0,1,64,1
12,4,37.0,36.0,0,67,1
8,4,38.0,36.0,0,62,1
4,4,40.0,34.0,0,65,1
12,2,37.0,36.0,0,65,0
20,4,46.0,38.0,1,71,1
4,2,44.0,34.0,1,66,1
26,4,53.0,42.0,0,66,1
8,5,35.0,34.0,1,62,1
8,2,36.0,34.0,1,64,1
15,3,40.0,36.0,1,63,2
20,6,37.0,42.0,0,63,0
20,10,49.0,32.0,0,68,1
38,4,54.0,40.0,0,65,1
4,5,39.0,34.0,1,67,1
4,3,36.0,34.0,1,63,2
4,6,34.0,30.0,0,63,1
13,4,40.0,36.0,1,66,1
8,6,39.0,32.0,1,65,1
38,5,46.0,38.0,0,65,0
12,2,39.0,36.0,1,68,1
20,5,50.0,38.0,0,66,2
20,4,48.0,40.0,1,68,1
8,3,42.0,36.0,1,67,0
8,3,40.0,34.0,0,67,1
32,5,40.0,42.0,0,65,2
8,4,35.0,36.0,1,63,1
8,4,36.0,34.0,0,64,0
27,4,50.0,38.0,1,68,1
8,5,41.0,34.0,0,66,2
12,3,38.0,38.0,0,67,1
8,4,39.0,32.0,1,64,1
8,2,37.0,36.0,1,60,1
8,3,38.0,34.0,1,67,0
32,4,50.0,40.0,1,62,2
12,5,35.0,34.0,0,66,1
4,3,34.0,32.0,1,66,0
7,2,38.0,32.0,1,63,1
15,3,44.0,38.0,1,61,0
8,2,35.0,36.0,0,64,1
12,4,40.0,36.0,0,67,1
8,0,38.0,34.0,0,64,1
15,4,46.0,36.0,1,67,2
8,2,40.0,34.0,0,70,1
12,3,38.0,36.0,1,66,1
20,4,36.0,40.0,0,69,1
4,5,36.0,32.0,1,64,1
4,0,39.0,34.0,0,67,2
15,3,41.0,38.0,0,67,1
8,4,38.0,34.0,0,66,2
1,4,38.0,34.0,1,66,1
8,2,40.0,36.0,1,62,2
12,3,38.0,36.0,1,63,1
32,3,41.0,36.0,1,66,2
4,3,40.0,32.0,0,63,0
15,3,40.0,38.0,0,64,2
4,2,36.0,36.0,0,65,2
4,0,33.0,34.0,1,68,2
20,6,52.0,38.0,0,67,1
4,2,35.0,34.0,0,66,1
12,5,38.0,36.0,0,67,1
15,4,44.0,38.0,0,66,1
27,4,46.0,42.0,1,63,0
20,6,40.0,38.0,0,67,2
4,3,34.0,34.0,0,67,1
12,4,50.0,36.0,0,67,0
8,2,36.0,34.0,1,64,1
1,2,39.0,32.0,1,65,1
4,2,35.0,32.0,1,67,1
15,5,41.0,40.0,1,61,1
8,4,41.0,36.0,0,67,1
20,4,42.0,40.0,0,69,1
4,3,33.0,34.0,0,66,1
4,3,39.0,34.0,0,66,2
26,2,47.0,42.0,1,66,1
4,5,40.0,32.0,1,62,1
12,4,38.0,36.0,1,65,1
4,5,35.0,32.0,0,61,2
8,3,38.0,34.0,0,64,1
1,4,35.0,32.0,1,60,1
8,0,38.0,34.0,1,65,1
12,3,38.0,36.0,1,64,0
8,3,36.0,36.0,1,66,1
20,5,39.0,38.0,0,66,1
8,5,36.0,34.0,1,63,1
8,3,38.0,36.0,1,66,1
12,5,42.0,40.0,0,67,1
12,4,35.0,36.0,1,66,1
8,5,40.0,34.0,1,66,0
4,0,34.0,34.0,0,63,0
20,4,45.0,38.0,1,68,2
26,5,50.0,36.0,0,62,1
26,5,56.0,42.0,1,70,1
8,5,42.0,34.0,0,60,0
12,6,41.0,34.0,1,66,1
12,4,41.0,36.0,1,63,1
8,2,39.0,34.0,0,67,1
15,4,38.0,38.0,0,61,1
12,6,42.0,36.0,0,67,1
8,4,34.0,36.0,0,63,1
8,4,39.0,38.0,0,60,1
8,5,47.0,38.0,1,66,1
4,0,34.0,32.0,0,68,2
12,4,43.0,36.0,1,64,0
4,5,35.0,32.0,1,63,1
12,6,40.0,32.0,0,62,2
32,5,52.0,38.0,0,65,1
26,5,54.0,42.0,0,64,1
12,2,40.0,36.0,0,67,1
8,3,33.0,36.0,0,63,1
12,2,39.0,36.0,0,66,1
8,3,43.0,36.0,0,60,1
15,0,36.0,36.0,1,64,1
4,2,40.0,34.0,0,69,1
7,3,39.0,34.0,1,65,1
4,0,39.0,34.0,1,66,1
8,2,40.0,36.0,0,65,1
12,9,41.0,32.0,0,71,1
8,3,36.0,36.0,0,63,1
8,2,40.0,38.0,1,66,2
12,4,38.0,36.0,0,60,1
32,4,41.0,40.0,0,69,1
15,7,42.0,32.0,1,63,1
12,5,34.0,36.0,1,66,1
4,5,33.0,34.0,0,64,1
11,5,40.0,34.0,1,67,2
9,4,35.0,34.0,1,65,1
8,4,39.0,34.0,1,64,1
26,6,46.0,34.0,1,64,0
12,3,39.0,38.0,1,64,1
12,6,43.0,34.0,0,65,1
4,3,35.0,32.0,1,63,1
8,6,38.0,32.0,0,66,1
12,2,37.0,34.0,0,63,1
12,4,41.0,36.0,0,61,0
32,5,54.0,40.0,1,66,0
8,2,42.0,32.0,0,67,0
26,3,50.0,40.0,0,64,1
15,5,48.0,38.0,1,67,1
12,3,40.0,38.0,1,65,0
8,4,34.0,34.0,0,61,1
4,2,33.0,36.0,1,65,1
8,2,38.0,34.0,0,71,1
15,6,55.0,38.0,1,66,1
8,4,37.0,32.0,0,68,0
8,6,38.0,34.0,0,69,1
20,5,49.0,36.0,1,67,2
8,0,35.0,32.0,1,62,2
8,4,39.0,36.0,1,67,1
4,2,36.0,32.0,1,70,1
32,7,50.0,36.0,0,60,1
5,5,35.0,32.0,1,64,0
8,3,38.0,34.0,1,65,1
5,2,35.0,34.0,1,66,1
12,4,40.0,36.0,0,66,1
20,6,44.0,38.0,0,65,1
20,7,47.0,34.0,1,67,0
9,6,38.0,36.0,1,59,1
4,0,34.0,32.0,0,68,1
15,5,44.0,36.0,0,67,2
32,5,50.0,40.0,1,65,0
4,3,37.0,36.0,0,63,1
8,5,46.0,36.0,0,67,1
4,4,36.0,34.0,0,64,1
15,5,46.0,36.0,1,63,0
8,2,40.0,36.0,1,69,1
12,4,40.0,34.0,1,63,2
3,0,35.0,34.0,1,65,1
8,0,36.0,34.0,0,68,0
15,4,40.0,38.0,0,63,0
15,4,48.0,38.0,0,63,0
8,3,38.0,34.0,1,65,1
8,2,36.0,34.0,0,72,1
26,6,58.0,44.0,0,67,1
4,5,33.0,28.0,0,69,1
8,2,39.0,36.0,0,64,2
4,4,34.0,32.0,0,64,1
